,Dist 1-0,Dist 1-1,Dist 1-2,Dist 1-3,Dist 1-4,Dist 1-5,Dist 1-6,Dist 1-7,Dist 1-8,Dist 1-9,Dist 1-10,Dist 1-11,Dist 1-12,Dist 1-13,Dist 1-14,Dist 1-15,Dist 1-16,Dist 1-17,Dist 1-18,Dist 1-19,Dist 1-20,Dist 1-21,Dist 1-22,Dist 1-23,Dist 1-24,Dist 2-0,Dist 2-1,Dist 2-2,Dist 2-3,Dist 2-4,Dist 2-5,Dist 2-6,Dist 2-7,Dist 2-8,Dist 2-9,Dist 2-10,Dist 2-11,Dist 2-12,Dist 2-13,Dist 2-14,Dist 2-15,Dist 2-16,Dist 2-17,Dist 2-18,Dist 2-19,Dist 2-20,Dist 2-21,Dist 2-22,Dist 2-23,Dist 2-24,Dist 3-0,Dist 3-1,Dist 3-2,Dist 3-3,Dist 3-4,Dist 3-5,Dist 3-6,Dist 3-7,Dist 3-8,Dist 3-9,Dist 3-10,Dist 3-11,Dist 3-12,Dist 3-13,Dist 3-14,Dist 3-15,Dist 3-16,Dist 3-17,Dist 3-18,Dist 3-19,Dist 3-20,Dist 3-21,Dist 3-22,Dist 3-23,Dist 3-24,Dist 4-0,Dist 4-1,Dist 4-2,Dist 4-3,Dist 4-4,Dist 4-5,Dist 4-6,Dist 4-7,Dist 4-8,Dist 4-9,Dist 4-10,Dist 4-11,Dist 4-12,Dist 4-13,Dist 4-14,Dist 4-15,Dist 4-16,Dist 4-17,Dist 4-18,Dist 4-19,Dist 4-20,Dist 4-21,Dist 4-22,Dist 4-23,Dist 4-24,Dist 5-0,Dist 5-1,Dist 5-2,Dist 5-3,Dist 5-4,Dist 5-5,Dist 5-6,Dist 5-7,Dist 5-8,Dist 5-9,Dist 5-10,Dist 5-11,Dist 5-12,Dist 5-13,Dist 5-14,Dist 5-15,Dist 5-16,Dist 5-17,Dist 5-18,Dist 5-19,Dist 5-20,Dist 5-21,Dist 5-22,Dist 5-23,Dist 5-24,Dist 6-0,Dist 6-1,Dist 6-2,Dist 6-3,Dist 6-4,Dist 6-5,Dist 6-6,Dist 6-7,Dist 6-8,Dist 6-9,Dist 6-10,Dist 6-11,Dist 6-12,Dist 6-13,Dist 6-14,Dist 6-15,Dist 6-16,Dist 6-17,Dist 6-18,Dist 6-19,Dist 6-20,Dist 6-21,Dist 6-22,Dist 6-23,Dist 6-24,Actual Output
Read 1,100,44.89418978,41.49830731,34.29140214,71.86058262,31.89490415,32.41415765,19.32052639,19.68740458,29.40463474,41.03591619,5.460303593,12.45140794,19.32052639,41.10850764,20.13660469,44.89418978,44.02237495,27.38874348,29.70726331,100.7185524,55.69509665,20.72039528,36.69389017,152.9508913,100,45.85925694,41.774723,35.35238157,72.69659954,30.52242568,31.66583621,18.63054424,19.54604656,28.62752181,41.73142564,7.364369231,10.41479084,18.69512171,41.32512949,20.03325018,45.13076033,43.31851939,27.53306884,29.55958287,100.1662509,55.48042054,22.63204317,37.39024342,153.7568682,100,138.5879765,109.7615412,75.23211741,183.9262548,184.3981639,54.35867667,34.41103002,232.6176663,187.2916631,42.84772577,10.42280046,225.2868489,178.2573142,61.92582145,25.74241818,265.177839,135.7367191,79.24070719,59.41910474,273.0893063,87.76220801,28.35308262,61.57396734,135.2958191,100,140.3279217,118.4088301,93.1327765,203.1379071,175.9555071,39.5738204,40.03941077,132.1661695,185.1678091,58.15821362,58.79210933,77.61064709,186.5141392,40.61389365,58.55520262,88.75117039,162.9681439,66.76320304,40.95471552,269.1267714,113.2485555,43.05064117,55.55034274,220.8837739,100,117.5438583,102.3166662,78.00384511,172.8918539,145.9090707,40.01075953,38.31461017,93.39005635,153.4533572,49.03684946,46.10449438,67.65157087,163.6750135,28.4674253,41.55802963,95.91646426,136.1839672,54.79456605,38.65979381,228.7434659,116.465191,45.59743818,62.33704445,161.7768539,100,97.14417693,85.32423208,64.55949638,145.1139194,126.2863491,38.92552814,36.45052792,75.65762735,129.1366115,44.84598132,42.01731144,54.50909701,135.4648149,28.05662636,37.31411196,71.7053597,110.6751004,54.63416585,43.19210054,207.7999809,106.1635421,42.66211604,45.6005937,156.5908887,J
Read 2,100,39.45641491,34.08123837,30.54175155,58.87888179,25.36354413,22.33656546,16.78173253,13.63249535,26.54771469,34.85885717,1.195648937,11.95648937,22.9987665,31.56603771,16.41569821,29.34824984,33.07001558,22.55945902,24.75022179,80.2288455,39.87986613,13.86643513,15.72630642,118.4386686,100,37.31350176,33.13322423,27.4911395,56.43827946,23.73951274,22.03138924,13.74556975,11.91768751,24.64175885,33.72763325,2.283014872,9.20312717,21.32511876,31.84989855,14.88343604,27.55032394,31.57253566,21.37089724,24.33580343,77.19325347,40.53557036,13.88703732,21.95733394,112.6483356,100,99.93928994,69.80441137,40.99420521,100.9526147,152.0960366,30.72803967,47.18328428,125.7168642,163.2620908,26.07692838,47.09139854,135.5316558,145.4584288,17.90286216,37.51874376,117.2123025,116.712382,9.307254849,30.01499501,94.38951484,22.51124626,53.34445627,37.46097815,43.75399801,100,65.47129307,52.42185863,33.0835757,83.66187932,95.42614606,26.05363985,38.77122035,40.48994579,98.04836507,30.53618214,33.61181946,34.440161,91.36465018,23.39362072,26.80897423,42.38871015,78.05567251,42.49938582,37.03615624,154.8196169,41.26563071,27.15715731,30.11016506,151.1968857,100,59.89152092,47.8205888,32.77957463,78.49459625,85.84704663,25.47732671,34.76080802,33.50274051,87.30042516,28.61568221,28.4406611,31.12311411,82.80357307,22.3450937,25.47732671,35.75214992,72.06076192,38.59949204,33.59204162,142.3156193,41.20231695,29.13443772,27.29396257,138.7124673,100,58.60084873,48.32349782,30.30277371,76.19036531,79.57286701,24.69135802,33.74039472,32.97891709,83.04422973,28.64281621,27.6057775,29.16363735,78.60932116,21.47116028,25.18183779,31.99424908,70.86744227,36.21503095,31.34063007,136.5830885,40.15714998,27.33176796,30.08465322,130.2071602,J
Read 3,100,44.74894795,38.53649632,34.04007003,66.56979171,29.01465452,28.86757845,17.93336794,17.85407484,27.24941787,40.90593434,5.67102888,10.74242464,19.30503136,39.41023067,19.3783883,42.0012116,39.3381607,24.48877322,28.32176576,91.94806108,47.69577839,20.88203711,33.87293283,142.9980637,100,42.34258458,38.34284111,32.42296049,65.20234925,25.79839937,27.26527586,16.54522212,18.42113121,24.54765688,37.24363182,3.85589229,13.22560144,18.51584202,37.89544485,19.81634724,42.2495352,37.97613486,23.67715122,26.61600948,88.04715082,49.71489333,18.82036079,31.98846231,138.4083045,100,33.54392919,12.2159785,29.7478516,35.67818682,20.76716345,29.4199721,24.70528758,36.44376714,19.69767346,35.25743877,17.49061943,35.61539149,13.65787917,34.48715909,22.82133117,43.79049189,33.87594582,18.16035762,22.02266843,73.95460966,43.17272672,23.49790381,33.36550277,123.1392447,100,210.8086778,188.5530135,98.61067562,286.4621292,289.0234616,149.285464,106.3394376,544.2921925,337.0916249,65.83334356,90.2222517,192.479217,313.5580659,80.96940198,87.62449199,193.1637925,230.7863902,56.67469969,63.79676599,161.5307257,270.7480242,413.6630874,63.79676599,92.39078613,100,84.37597962,67.86003563,50.23476357,112.6558348,118.4930274,30.34793052,28.6301804,96.08846857,124.8514009,43.1325134,39.45230968,57.78073827,120.9546839,36.54374757,41.44465218,48.55668884,108.321283,56.16417308,41.66628292,205.5834311,21.13488799,34.66844296,38.38743309,174.6786388,100,60.73460889,47.52032838,32.40416241,76.76275037,85.51694756,28.33661801,28.89779364,51.19930046,86.8073013,34.61602569,26.85948993,40.28923489,85.082481,28.46710197,28.89779364,31.12070084,78.48153243,44.51368204,37.0965851,159.7093467,28.85501375,32.36601742,26.72115687,138.6958719,J
Read 4,100,41.63675188,34.11657732,31.15537117,61.86014928,25.04644233,22.74024314,16.39305203,14.293504,26.33339406,37.30927095,1.841451063,14.02407348,20.19308738,34.99968292,14.8462531,37.28654218,35.95548143,24.46428553,28.587008,88.91081814,44.53875931,13.68756905,21.72990281,136.2984807,100,40.80620759,34.50643207,31.75235484,62.46167819,22.64451159,25.2361158,17.08715619,19.66879385,25.2361158,35.95669161,5.810261276,18.17393981,19.22305072,36.34787963,18.24909082,37.55774812,38.97641754,27.36946945,29.97870824,95.96324756,42.98404814,13.77610574,24.35294447,141.0337478,100,176.6747498,108.590714,85.18556457,182.6150475,396.1357739,134.0946658,58.89158326,536.2294274,472.0378209,129.2315998,29.2184076,605.2249492,441.2487454,81.66793198,14.6092038,517.4422425,317.1408816,51.65133537,23.0991794,356.7309115,46.1983588,116.8736304,85.4981732,153.5704605,100,77.17434939,61.83934982,46.77471925,107.0215669,98.6097665,18.5996222,26.74446892,93.37436922,107.5444767,2.162162162,31.92394175,74.5554147,101.6446207,7.795786542,30.73009817,73.16291596,88.72771688,42.64450362,28.10810811,153.5591862,2.162162162,36.82029485,46.77471925,148.0410185,100,54.62979395,44.61153412,30.57986422,73.22712763,73.93579377,22.41265656,30.66500554,34.90626841,78.31956092,27.52882402,26.53211839,29.48013154,71.69189782,20.08114201,23.06243333,29.03456235,67.22504303,37.14964483,33.03879785,136.4137144,38.43738889,27.52882402,26.53211839,125.3512388,100,47.03417923,38.73176617,24.99279976,61.94996806,62.92402008,19.16860239,24.16806681,33.1245812,65.96166287,23.20523202,23.66478618,25.29514301,61.81688527,17.79760052,19.13552454,26.27784226,57.3292732,30.20352964,27.2250937,113.7098154,28.23038317,23.66478618,23.66478618,100.810486,J
Read 5,100,50.06668691,41.48563371,39.04264668,74.19244378,29.87387816,31.98019798,18.58100741,20.57728156,29.87387816,45.02472988,8.914792462,12.29349345,25.34368601,44.324821,22.94230253,45.78511841,45.67115403,28.62672344,30.02613044,103.8756927,54.90703559,22.42538832,33.10124415,163.2553011,100,49.61420207,41.89157945,37.37968098,72.65209419,29.11614713,29.6218199,18.94469503,19.90048261,29.20103404,42.7976061,6.486763705,13.02113685,24.70086029,43.20055143,22.49832953,44.55442072,44.49883191,27.90062566,30.36454347,102.3714947,54.55645716,22.16582361,32.33828424,160.0296106,100,34.6080864,20.4379562,24.86041805,42.56169266,37.30491194,21.94641807,29.08738518,21.05431402,37.41899451,27.89047179,24.98867557,21.89781022,27.77561692,26.6398359,23.40324021,23.08231869,47.81996892,28.34523772,23.7647016,99.92271509,51.59298408,35.30915802,39.5240478,133.2871499,100,124.1931651,100.5135258,71.43590623,167.6859926,96.25919677,67.72773451,56.36070768,218.2315406,108.4172746,67.04703648,59.91129703,234.8600188,124.8837719,79.05599411,59.91129703,263.7906142,122.7068807,84.11610124,69.48284636,276.2137631,49.30653498,46.05983918,77.22149848,117.4055931,100,145.3733911,113.550327,80.52940675,189.8453575,125.7909546,97.65625,74.62880146,297.7218596,121.1567377,85.67075078,73.70297759,279.6449426,132.6400535,94.39879667,71.70921778,296.7207659,134.2409397,91.94220544,74.11588266,299.5612433,122.5965221,39.83608995,27.62135864,11.04854346,100,154.8234078,116.668235,80.52710975,193.6463121,128.7404244,109.9958669,88.37727737,321.238962,134.7937451,120.2534803,101.0632832,350.3301121,155.5576467,116.3125384,96.0174015,366.4016713,146.7866682,97.72831385,87.55295431,332.0217792,115.1489362,116.0450504,110.8401972,119.4756918,J
Read 6,100,42.08070454,31.83023873,33.14694823,58.84530344,24.05471416,26.24788727,19.12759297,23.36627644,22.70656187,42.24091085,3.355201761,20.6010481,19.56402007,40.3322606,16.05596387,45.63567781,38.43134276,25.81543779,29.87825536,94.0953159,37.54229393,18.56005908,24.74674544,144.6749616,100,42.96754744,32.89124668,33.14694823,59.80358905,23.36627644,24.97316137,18.56005908,22.28116711,22.70656187,42.04055757,2.372485918,21.87323939,19.56402007,40.31830239,16.23030084,45.03975656,38.5629323,25.66235888,28.9598813,93.18163078,38.26989665,16.60740142,24.19470398,143.3146459,100,41.07199548,17.29405601,4.869076672,17.5557056,49.52632227,34.42957133,16.70400659,82.14399096,66.6246935,32.09956603,8.540925483,85.63316063,70.75320404,22.3537412,7.272335999,81.65410646,58.95713694,19.33534242,7.639235989,81.62059817,5.729426991,18.36795477,22.14884465,8.647028005,100,141.7250311,120.0832227,82.54313963,201.7326802,134.9149291,92.95513011,62.63950688,289.5804902,154.9963138,80.80884665,53.88716998,289.5804902,151.3901796,87.54010801,67.85004282,304.8783312,130.4307373,74.70618457,74.23064706,278.0514801,74.99005964,91.03038481,91.65070126,125.3355349,100,113.3485791,98.58929269,83.59740062,179.7299542,139.7542486,99.4368911,47.03747882,268.282888,150.8844368,63.10740008,3.90625,212.5947629,153.7395989,60.64130741,21.03580003,198.9121415,149.5639822,74.62880146,33.14563037,257.0122523,94.07495765,40.7824473,91.10862336,203.0122884,100,115.4950793,90.61879759,62.84631563,148.1061472,158.1259861,28.86509773,62.14123521,90.44180758,185.2165089,44.30363952,55.82531255,88.42626296,174.3891514,28.0200819,47.10817146,99.71081208,146.4470232,68.40105278,55.6096312,265.5353667,72.55027239,56.96182224,59.97628107,232.5284393,J
Read 7,100,40.75846144,36.56972534,32.93324933,64.4543045,28.30512259,30.23337187,18.4352204,20.33402719,26.7908432,41.75471162,3.322995126,15.54681972,22.83509983,36.97013573,21.16191092,36.56972534,44.32044533,26.67610673,26.67610673,97.48081705,39.7063543,20.60376079,26.25890472,142.5061767,100,42.93252399,38.26828397,34.99418315,67.50929836,29.14858825,31.21897526,19.65489403,21.81627847,27.17614971,42.22088591,4.63270295,13.48314607,22.13226472,39.00349429,21.81627847,39.47004061,43.82022472,28.17963192,27.0597631,98.87640449,42.235834,21.1999576,31.21897526,146.6754845,100,34.28179382,28.86633696,30.50902836,55.14032493,17.86329485,23.96612495,16.7140856,26.33600351,16.7140856,24.16626308,7.988708317,18.16410113,14.64025465,23.6881742,16.78597448,27.97662413,36.47705506,24.29051204,22.19219622,82.77415633,32.42244421,24.87827071,20.82043889,118.4154518,100,228.4743835,191.2235278,147.3568341,336.6708643,272.1916471,178.0519401,139.7949674,586.5468398,294.7136682,204.3961994,158.7081674,654.0386229,287.1001268,205.2443201,158.1599511,649.1733371,250.7665246,151.7131463,112.2236214,514.6952944,224.4472428,113.3786119,116.7750614,203.5445449,100,141.222694,105.8302985,72.72267205,175.909381,184.48576,41.70560528,59.96865164,108.9492532,205.0613154,61.80238731,68.56359273,93.57109403,200.6290694,38.32821353,53.54987779,112.4526532,160.2834382,97.44717452,72.72267205,329.6761133,113.077974,65.49528,62.08697386,260.4062943,100,89.13034784,72.14674051,43.0200043,112.2855077,121.7169658,35.47520435,38.77770785,74.17052979,126.2510698,38.71800387,36.63021374,68.73110479,120.9351929,30.79763619,35.0157466,59.49372633,101.9174682,58.51353198,47.17511766,207.0554192,63.95383415,43.55443478,31.02216628,167.5158311,J
Read 8,100,40.97499651,35.99072944,31.08886305,62.12963194,27.80672445,22.09617051,17.43287003,11.68366931,31.32831868,30.53914662,8.231394741,9.831161711,29.35803787,28.1096583,18.96586145,22.43182776,34.65073859,23.36733861,23.0453112,80.89758271,41.79361433,16.99878855,14.29209529,112.3056274,100,39.89313048,36.05847941,31.01867685,63.8957883,26.51708312,21.29588273,17.81157491,12.61531553,30.68150731,29.85676934,9.402901027,11.40269239,30.68150731,28.84678353,19.37786843,22.06354682,35.62314981,23.87496157,22.91912805,82.25760347,44.92139836,17.36806361,15.16172233,112.6502908,100,33.79003298,25.50499898,25.50499898,48.3923331,21.22898597,28.7290917,15.83776239,35.59021331,18.72838171,32.42246191,9.405778879,38.19964339,16.1307777,33.91301803,13.41863542,45.09699267,26.70118818,21.0072029,24.52727052,71.71214761,28.89165937,15.4384268,20.19892866,121.6778254,100,91.48815249,73.87502767,50.4475706,121.4705616,141.413258,31.27930187,59.4530321,60.63043417,152.2740603,30.91557669,47.56242568,75.69003787,135.5737723,17.14887646,31.9943497,86.56492139,107.8314773,34.04951501,23.89982312,157.5314641,65.77558471,51.93895284,51.06042938,127.4681882,100,48.698406,39.95500929,27.06814135,66.24744106,66.84371471,12.30184097,22.48735954,38.44850346,78.05234301,18.47774828,25.52410573,35.55563735,75.4921559,13.37978237,20.73677153,41.47354306,61.50920485,29.79447385,21.94741804,111.5303668,25.37908123,24.49090664,26.23720679,96.79808465,100,44.58056272,36.96692099,23.84824781,60.18763144,63.60774725,11.24217183,19.87353985,43.3407231,71.82023443,17.77543442,24.75831524,33.18345596,68.76359661,13.1225572,18.55809837,37.70739065,57.83165948,27.56625465,22.48434367,106.6822281,18.12745739,20.91920183,23.48107302,91.05465197,J
Read 9,100,46.4146635,39.14203323,37.71236166,69.21963612,27.59942744,29.58561546,18.92154041,20.96440252,26.89715208,42.23683957,1.571348403,15.59518761,24.84519975,39.28371007,21.14033066,38.03831726,42.35359678,27.03450013,28.91024851,98.00478698,49.6903995,20.66786138,20.66786138,149.025642,100,46.87297705,40.95217143,37.50173915,71.57620482,27.16274335,28.32008408,17.5274903,18.67517614,26.48209991,41.6533016,4.760593231,12.34290844,24.60919232,40.78272407,22.55358084,40.45726297,43.89050093,27.30144762,29.17414722,100.1737618,49.80327877,21.17141188,27.02332715,153.4958121,100,547.2267713,680.1234135,594.975384,1274.575363,1274.575363,382.6828397,254.2406404,1158.339233,1592.337415,384.6571409,363.0448185,1221.157588,1485.357561,360.2521245,392.4550381,1106.613236,1071.370556,292.1348315,351.0224573,855.7048434,1039.067687,653.2333417,494.8924842,305.6510227,100,191.4441762,169.5118996,145.5479452,311.6485398,254.2678494,206.191688,166.2370534,625,270.7429504,236.1834627,206.191688,709.5841652,279.5347212,211.9763425,181.6198924,672.6750129,236.1834627,145.7995408,121.6838219,503.3926232,292.2268522,92.60833755,92.60833755,183.0270405,100,101.3347524,77.76337316,57.92922222,130.0765825,134.4157696,30.32305676,43.42760263,77.28722223,146.2755877,44.11758126,40.96214586,69.70789662,145.8620545,18.86038831,32.46104686,95.04630222,131.1044656,76.93907982,60.47988357,268.0815196,57.52228837,48.3977764,45.90685271,223.2192666,100,91.99627165,70.73568768,53.40529813,120.7853018,118.4050625,29.59548582,35.63768416,68.33449633,125.6719607,35.17383336,33.49981531,63.21598543,132.1066375,17.03348126,27.28568973,88.19876848,121.3279566,67.85212915,49.74331218,238.6064349,56.25089041,41.46009627,45.00557806,192.5128913,J
Read 10,100,41.99563778,35.61038297,31.01297475,62.54277609,27.44186467,21.66095032,17.2768945,11.56019744,30.68093742,35.95115995,5.758964834,14.38046398,26.59340645,33.5947681,16.81914703,30.9184708,36.04600018,25.31556665,26.59340645,87.67344601,39.99695157,15.61618598,14.24415319,129.8643378,100,40.9980877,34.61538462,29.43313051,60.51584222,26.24489243,21.96857627,17.33438113,12.90039218,28.86217504,33.81827961,5.606684514,12.82852314,26.24489243,31.73076923,17.33438113,28.41016674,36.20801997,24.64616465,24.64616465,85.19252474,38.93933987,15.01971092,16.0031894,123.9340646,100,74.41841546,38.13517855,31.9677151,66.87996746,124.5068871,39.65107058,28.17737986,127.285495,133.7599349,27.8264648,23.20519411,127.8708604,124.2066226,16.93894478,11.89532117,121.7294325,86.37200996,5.947660587,20.69846651,66.87996746,40.14364935,32.02913248,24.11880464,63.25557547,100,56.22662476,46.61120713,32.47451356,77.36048714,79.10184154,14.12957005,31.59467912,42.5822038,83.66187932,20.84516553,27.41539283,36.16988114,76.81204037,13.70769641,23.39362072,39.75822765,65.34561105,34.440161,27.62874541,125.6518069,20.15777232,25.69050516,34.26924103,118.1667833,100,42.77456647,35.38781009,24.13943701,58.50442048,57.39741774,17.49450399,22.327408,28.1521287,61.54373019,20.93730668,21.25407666,23.12138728,57.90742098,18.27906162,19.65317919,20.22295455,54.77622077,27.47945508,22.23743822,102.6756222,23.15027098,21.59715803,22.44680675,100.0985181,100,44.88193998,36.82063431,24.8471155,60.94177514,62.15927899,16.7891898,21.55813357,34.6465448,65.16155717,18.79833436,23.74349992,27.97106107,60.8401584,15.64454041,18.35421651,27.67453968,54.74961318,25.25874675,21.55813357,99.84396321,22.27954972,23.74349992,23.09769653,92.53949182,J
